Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
User Management,LP-1,10037,Epic,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,01/Apr/26 11:29 AM,01/Apr/26 11:41 AM,02/Apr/26 10:13 AM,,06/Apr/26 12:00 AM,0,User related Tasks ,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7fe90d53,,,,,ghx-label-9,,To Do,,,,orange,,,,,0|i00013:,,,LP Sprint 1,,,,,,,,,,,,,,,,To Do,01/Apr/26 11:29 AM
USER SHOULD BE ABLE TO VIEW COURSE CARD LAYOUT,LP-11,10111,Story,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 9:58 AM,02/Apr/26 9:58 AM,,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@293e095f,,,,,,,,,,,,,,,,0|i0003b:,,,LP Sprint 1,,,,,,,,,,,,,10108,LP-8,COURSE_PAGE,To Do,02/Apr/26 9:58 AM
USER SHOULD BE ABLE TO VIEW COURSE VIDEO PREVIEW,LP-14,10114,Story,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 10:02 AM,02/Apr/26 10:02 AM,,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2c52d25b,,,,,,,,,,,,,,,,0|i0003z:,,,LP Sprint 1,,,,,,,,,,,,,10108,LP-8,COURSE_PAGE,To Do,02/Apr/26 10:02 AM
USER SHOULD BE ABLE TO CLICK ENROLL NOW BUTTON,LP-15,10115,Story,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 10:02 AM,02/Apr/26 10:02 AM,,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@c006171,,,,,,,,,,,,,,,,0|i00047:,,,LP Sprint 1,,,,,,,,,,,,,10108,LP-8,COURSE_PAGE,To Do,02/Apr/26 10:02 AM
USER SHOULD BE ABLE TO VIEW ALL THE COURSES HE HAS ENROLLED IN,LP-16,10116,Story,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 10:03 AM,02/Apr/26 10:04 AM,,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5a32faa0,,,,,,,,,,,,,,,,0|i0004f:,,,LP Sprint 1,,,,,,,,,,,,,10108,LP-8,COURSE_PAGE,To Do,02/Apr/26 10:03 AM
USER SHOULD BE ABLE TO VIEW HIS COURSE PROGRESS,LP-17,10117,Story,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 10:03 AM,02/Apr/26 10:03 AM,,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@51ea3711,,,,,,,,,,,,,,,,0|i0004n:,,,LP Sprint 1,,,,,,,,,,,,,10108,LP-8,COURSE_PAGE,To Do,02/Apr/26 10:03 AM
USER SHOULD BE ABLE TO RESUME THE LAST COURSE,LP-18,10118,Story,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 10:04 AM,02/Apr/26 10:04 AM,,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7fe062d5,,,,,,,,,,,,,,,,0|i0004v:,,,LP Sprint 1,,,,,,,,,,,,,10108,LP-8,COURSE_PAGE,To Do,02/Apr/26 10:04 AM
USER SHOULD BE ABLE TO VIEW VIDEO WITH VIDEO PLAYER,LP-19,10119,Story,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 10:05 AM,02/Apr/26 10:05 AM,02/Apr/26 11:46 AM,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@785ea5dd,,,,,,,,,,,,,,,,0|i00053:,,,LP Sprint 1,,,,,,,,,,,,,10108,LP-8,COURSE_PAGE,To Do,02/Apr/26 10:05 AM
THE VIDEO PLAYER SHOULD AUTOMATICALLY SAVE PROGRESS,LP-21,10121,Story,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 10:05 AM,02/Apr/26 10:05 AM,02/Apr/26 11:49 AM,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@85b6564,,,,,,,,,,,,,,,,0|i0005j:,,,LP Sprint 1,,,,,,,,,,,,,10108,LP-8,COURSE_PAGE,To Do,02/Apr/26 10:05 AM
THE USER SHOULD REDIRECT TO NEXT VIDEO AUTOMATICALLY,LP-22,10122,Story,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 10:06 AM,02/Apr/26 10:06 AM,02/Apr/26 11:48 AM,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1cfb677a,,,,,,,,,,,,,,,,0|i0005r:,,,LP Sprint 1,,,,,,,,,,,,,10108,LP-8,COURSE_PAGE,To Do,02/Apr/26 10:06 AM
Write test cases to check if user redirects to next video or not after video completion,LP-109,10276,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:49 AM,02/Apr/26 11:49 AM,,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@632a60d4,,,,,,,,,,,,,,,,0|i000m7:,,,LP Sprint 1,,,,,,,,,,,,,10122,LP-22,THE USER SHOULD REDIRECT TO NEXT VIDEO AUTOMATICALLY,To Do,02/Apr/26 11:49 AM
USER SHOULD BE ABLE TO ADD  REVIEWS,LP-23,10123,Story,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 10:06 AM,02/Apr/26 10:06 AM,,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4b0d9b4,,,,,,,,,,,,,,,,0|i0005z:,,,LP Sprint 1,,,,,,,,,,,,,10108,LP-8,COURSE_PAGE,To Do,02/Apr/26 10:06 AM
USER SHOULD BE ABLE TO VIEW REVIEWS,LP-24,10124,Story,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 10:06 AM,02/Apr/26 10:06 AM,,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4a09b452,,,,,,,,,,,,,,,,0|i00067:,,,LP Sprint 1,,,,,,,,,,,,,10108,LP-8,COURSE_PAGE,To Do,02/Apr/26 10:06 AM
Write functionality testcase for user registeration,LP-25,10125,Task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 10:14 AM,02/Apr/26 10:14 AM,02/Apr/26 10:14 AM,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7112b123,,,,,,,,,,,,,,,,0|i0006f:,,,LP Sprint 1,02/Apr/26 12:00 AM,,,,,,,,,,,,,,,To Do,02/Apr/26 10:14 AM
Write test case for Full Name,LP-26,10127,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 10:15 AM,02/Apr/26 10:15 AM,,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7d0d2722,,,,,,,,,,,,,,,,0|i0006n:,,,LP Sprint 1,,,,,,,,,,,,,10125,LP-25,Write functionality testcase for user registeration,To Do,02/Apr/26 10:15 AM
Write test case for  Email Address Field,LP-27,10129,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 10:15 AM,02/Apr/26 10:15 AM,,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@8e2062f,,,,,,,,,,,,,,,,0|i0006v:,,,LP Sprint 1,,,,,,,,,,,,,10125,LP-25,Write functionality testcase for user registeration,To Do,02/Apr/26 10:15 AM
Write test case for Mobile Number Field (OTP Verification),LP-28,10131,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 10:16 AM,02/Apr/26 10:16 AM,,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6c244a6a,,,,,,,,,,,,,,,,0|i00073:,,,LP Sprint 1,,,,,,,,,,,,,10125,LP-25,Write functionality testcase for user registeration,To Do,02/Apr/26 10:16 AM
Write test case for  Password Field,LP-29,10133,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 10:16 AM,02/Apr/26 10:16 AM,,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@98eb041,,,,,,,,,,,,,,,,0|i0007b:,,,LP Sprint 1,,,,,,,,,,,,,10125,LP-25,Write functionality testcase for user registeration,To Do,02/Apr/26 10:16 AM
write test case for  Confirm Password,LP-30,10135,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 10:16 AM,02/Apr/26 10:16 AM,,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@49a8c435,,,,,,,,,,,,,,,,0|i0007j:,,,LP Sprint 1,,,,,,,,,,,,,10125,LP-25,Write functionality testcase for user registeration,To Do,02/Apr/26 10:16 AM
write test case for Terms & Conditions Checkbox,LP-31,10137,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 10:16 AM,02/Apr/26 10:16 AM,,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@505385d7,,,,,,,,,,,,,,,,0|i0007r:,,,LP Sprint 1,,,,,,,,,,,,,10125,LP-25,Write functionality testcase for user registeration,To Do,02/Apr/26 10:16 AM
